name,configuration,latitude,longitude
AG001,G9+U9+U21+L8+L18,40.298964,44.361452
AG002,G9+U9+U21+L8+L18,40.292785,44.354091
AG003,G9+U9+U21+L8+L18,"40,28082","44,35538"
AG500,G9+U9+U21+L8,"40,310001","44,38261"
AG501,G9+U9+U21+L8+L18,"40,353528","44,379278"
AG502,G9+U9+U21+L8+L18,"40,483139","44,394444"
AG503,G9+U9+U21+L8+L18,"40,524139","44,390806"
AG504,G9+U9+U21+L8+L18,"40,580972","44,351144"
AG505,G9+U9+U21+L8,"40,68735","44,28865"
AG506,G9+U9+U21+L8,"40,729029","44,203614"
AG507,U9+L8,"40,42347","44,38803"
AG510,G9+U9+L8,"40,58084","44,43377"
AG511,U9+U21+L8,"40,382917","44,391107"
AG513,U9+U21+L8+L18,"40,485716","44,349287"
AG514,U21,"40,331404","44,375992"
AG520,G9+U9+U21+L8+L18,"40,642906","44,223953"
AG521,G9+U9+U21+L8,"40,64147","44,1106"
AG522,U21,"40,676909","44,2433"
AG524,U9+U21+L8,"40,673361","44,342972"
AG600,G9+U9+U21+L8,"40,257147","44,419586"
AG601,G9+U9+U21+L8+L18,"40,226722","44,449969"
AG602,G9+U9+U21+L8+L18,"40,23374","44,45229"
AG603,U21+L8+L18,"40,248104","44,418842"
AG605,U9+U21+L8+L18,"40,234333","44,449222"
AG700,U21+L8+L18,"40,26114","44,31999"
AG720,G9+U9+U21+L8+L18,"40,274775","44,297386"
AG800,G9+U9+U21+L8,"40,301364","44,270605"
AG801,G9+U9+U21+L8+L18,"40,285742","44,205917"
AG802,G9+U9+U21+L8+L18,"40,295028","44,152528"
AG803,G9+U9+U21+L8,"40,309241","44,046656"
AG804,G9+U9+U21+L8,"40,34747","43,98736"
AG805,G9+U9+U21+L8,"40,372113","43,948552"
AG806,G9+U9+U21+L8,"40,43635","43,89907"
AG807,U21,"40,449594","43,880909"
AG808,G9+U9+U21+L8,"40,50915","43,855081"
AG809,G9+U9+U21+L8,"40,383423","43,791065"
AG812,U21,"40,28738","44,086052"
AG817,U9+U21+L8+L18,"40,366217","44,036024"
AG820,G9+U9+U21+L8,"40,340962","43,854259"
AG821,U9+U21,"40,337086","43,917505"
AG830,U9+U21+L8+L18,"40,296897","43,764678"
AG831,G9+U9+U21+L8+L18,"40,319611","43,656722"
AG832,U21,"40,32011","43,673019"
AG834,U21,"40,30321","44,16063"
AG835,U21,"40,344033","44,32881"
AG836,U21,"40,315413","43,66966"
AG850,G9+U9+U21+L8+L18,"40,329889","44,305806"
AG851,G9+U9+U21+L8+L18,"40,34669","44,25646"
AG852,G9+U9+U21+L8+L18,"40,383333","43,87275"
AG855,U21,"40,262269","44,151908"
AG856,U9+U21+L8+L18,"40,246726","44,341115"
AG859,U9,"40,330464","43,976085"
AM001,G9+U9+U21+L8+L18,"40,15387","44,03915"
AM002,G9+U9+U21+L8+L18,"40,150833","44,049111"
AM003,G9+U9,"40,159384","44,043583"
AM004,G9+U9+U21+L8+L18,"40,163639","44,039833"
AM006,G9+U9+U21+L8+L18,"40,147528","44,031694"
AM007,G9+U9+U21,"40,15383","44,02501"
AM008,G9+U9+U21,"40,1451","44,04089"
AM010,G9+U9+U21+L8+L18,"40,143433","44,051"
AM011,U21,"40,172886","44,032239"
AM531,G9+U9+U21+L8+L18,"40,227151","44,248511"
AM532,G9+U9+U21+L8+L18,"40,23072","44,28921"
AM533,G9+U9+U21,"40,209901","44,298648"
AM600,G9+U9+U21,"40,178828","44,14672"
AM601,G9+U9+U21+L8+L18,"40,144188","44,113422"
AM602,G9+U9+U21+L8+L18,"40,14996","44,159616"
AM604,G9+U9+U21+L8+L18,"40,187189","44,401718"
AM605,G9+U9+U21,"40,1663","44,351"
AM620,G9+U9+U21+L8+L18,"40,106284","44,273293"
AM624,G9+U9+U21+L8+L18,"40,17882","44,22948"
AM625,G9+U9+U21+L8+L18,"40,184701","44,263336"
AM626,G9+U9+U21+L8+L18,"40,128313","44,229674"
AM627,U21,"40,170309","44,21113"
AM628,G9+U9+U21+L8+L18,"40,074849","44,302771"
AM630,G9+U9+U21+L8,"40,082614","44,246325"
AM650,G9+U9+U21+L8+L18,"40,164114","44,282555"
AM651,G9+U9+U21,"40,17081","44,28732"
AM653,G9+U9+U21+L8+L18,"40,165025","44,294123"
AM654,G9+U9+U21+L8+L18,"40,172424","44,297532"
AM655,G9+U9+U21+L8+L18,"40,157713","44,301202"
AM656,G9+U9+U21,"40,16637","44,30468"
AM657,G9+U9+U21+L8+L18,"40,16663","44,329686"
AM658,G9+U9+U21,"40,1557","44,28142"
AM659,G9+U9+U21+L8+L18,"40,140157","44,329978"
AM670,G9+U9+U21+L8+L18,"40,194381","44,360916"
AM720,G9+U9+U21+L8+L18,"40,121314","44,065471"
AM721,G9+U9+U21+L8+L18,"40,098658","44,092861"
AM722,G9+U9+U21+L8+L18,"40,094076","44,159659"
AM724,G9+U9+U21+L8,"40,047768","44,172591"
AM726,G9+U9+U21+L8,"40,058457","44,09335"
AM730,G9+U9+U21+L8+L18,"40,045139","44,028972"
AM731,G9+U9+U21+L8,"40,09145","44,007847"
AM732,G9+U9+U21+L8+L18,"40,084682","44,049711"
AM734,G9+U9+U21+L8+L18,"40,051596","43,925505"
AM736,G9+U9+U21+L8,"40,091476","43,954481"
AM738,G9+U9+U21+L8+L18,"40,130837","44,005718"
AM739,G9+U9+U21+L8+L18,"40,061557","43,987519"
AM740,G9+U9+U21,"40,128422","43,969583"
AM801,G9+U9+U21+L8+L18,"40,184425","43,984057"
AM802,G9+U9+U21+L8+L18,"40,180945","43,918883"
AM803,G9+U9+U21+L8,"40,2381","43,8734"
AM804,G9+U9+U21+L8,"40,2425","43,77039"
AM805,U9+U21+L8,"40,145795","43,672383"
AM806,G9+U9+L8,"40,193527","43,853043"
AM807,G9+U9+L8,"40,100228","43,823909"
AM808,U9+L8,"40,142967","43,758358"
AM809,U21,"40,22435","43,876862"
AM810,U21,"40,18485","44,004991"
AR001,G9+U9+U21,"40,06622","44,44693"
AR002,G9+U9+U21+L8+L18,"40,061314","44,442469"
AR003,G9+U9+U21,"40,07142","44,43631"
AR004,G9+U9+U21+L8+L18,"40,06646","44,43039"
AR005,G9+U9+U21,"40,070139","44,414889"
AR006,G9+U9+U21+L8+L18,"40,07185","44,3997"
AR007,G9+U9+U21+L8+L18,"39,897115","44,60482"
AR008,G9+U9+U21+L8+L18(S5010),"39,8548","44,68301"
AR009,G9+U9+U21+L8+L18,"39,912889","44,726639"
AR010,G9+U9+U21+L18+L26,"40,095111","44,498861"
AR011,G9+U9+U21+L8+L18,"39,765444","44,800444"
AR012,G9+U9+U21+L8,"39,829362","44,993655"
AR013,G9+U9+U21,"39,8487","44,69804"
AR014,G9+U9+U21+L8+L18,"39,82857","44,71271"
AR015,G9+U9+U21+L8+L18,"39,79226","44,77945"
AR016,G9+U9+U21+L8+L18,"39,91081","44,8123"
AR017,U9+L8,"39,872847","44,942923"
AR018,G9+U9+U21+L8+L18,"39,956778","44,600917"
AR019,G9+U9+U21+L8+L18,"39,893944","44,649306"
AR020,G9+U9+U21+L8+L18,"39,956028","44,549083"
AR021,G9+U9+U21+L8+L18,"39,960083","44,553389"
AR022,G9+U9+U21,"39,951104","44,5567"
AR023,G9+U9+U21+L8+L18,"39,948501","44,546603"
AR024,G9+U9+U21,"39,952599","44,541003"
AR025,G9+U9+U21+L8+L18,"39,96196","44,541389"
AR026,G9+U9+U21,"39,968273","44,542596"
AR027,G9+U9+U21+L8+L18,"39,998139","44,584528"
AR028,G9+U9+U21+L8+L18,"40,02125","44,583472"
AR029,G9+U9+U21+L8+L18,"40,042528","44,542056"
AR030,G9+U9+U21+L8+L18,"40,097194","44,471333"
AR031,G9+U9+U21+L8+L18,"39,936167","44,572278"
AR032,G9+U9+U21+L8+L18,"40,116621","44,371844"
AR033,U21+L8+L18,"39,8736","44,66771"
AR034,G9+U9+U21+L8,"40,009643","44,552157"
AR035,G9+U9+U21+L8+L18,"39,98687","44,633944"
AR036,G9+U9+U21+L8+L18,"39,97765","44,51878"
AR037,G9+U9+U21+L8+L18,"40,016396","44,492481"
AR038,U21+L8+L18,"40,05734","44,471006"
AR040,G9+U9+U21+L8+L18,"40,12622","44,40076"
AR041,G9+U9+U21+L8+L18,"40,092639","44,398444"
AR042,G9+U9+U21+ 4G,"40,10801","44,4318"
AR043,G9+U9+U21+L8+L18,"40,100134","44,338604"
AR044,pure transmission,,
AR045,G9+U9+U21+L8,"39,8384","44,62506"
AR046,G9+U9+U21+L8,"40,024562","44,422286"
